BHK,SFT,CITY,CONSTRUCTION TYPE,FURNITURE TYPE,PRICE
1,705,HYD,FLAT,NO," 42,30,000.00 "
1,725,HYD,FLAT,NO," 43,50,000.00 "
1,812,GNT,INDP,FULLY," 40,76,240.00 "
1,630,GNT,INDP,PARTIAL," 31,56,300.00 "
1,860,VIJ,FLAT,NO," 46,44,000.00 "
1,808,HYD,FLAT,NO," 48,48,000.00 "
1,698,HYD,FLAT,FULLY," 42,01,960.00 "
1,641,GNT,INDP,PARTIAL," 32,11,410.00 "
1,795,GNT,INDP,NO," 39,75,000.00 "
1,762,KKD,FLAT,NO," 34,29,000.00 "
1,856,HYD,FLAT,NO," 51,36,000.00 "
1,741,GNT,INDP,FULLY," 37,19,820.00 "
1,838,GNT,INDP,PARTIAL," 41,98,380.00 "
1,861,KKD,FLAT,NO," 38,74,500.00 "
1,722,HYD,FLAT,NO," 43,32,000.00 "
1,756,TPT,FLAT,FULLY," 42,48,720.00 "
1,858,GNT,INDP,PARTIAL," 42,98,580.00 "
1,602,TPT,INDP,NO," 33,71,200.00 "
1,633,HYD,FLAT,NO," 37,98,000.00 "
1,604,HYD,FLAT,NO," 36,24,000.00 "
1,721,GNT,INDP,FULLY," 36,19,420.00 "
1,784,GNT,INDP,PARTIAL," 39,27,840.00 "
1,802,VIJ,FLAT,NO," 43,30,800.00 "
1,856,HYD,FLAT,NO," 51,36,000.00 "
1,705,HYD,FLAT,FULLY," 42,44,100.00 "
1,658,GNT,INDP,PARTIAL," 32,96,580.00 "
1,730,GNT,INDP,NO," 36,50,000.00 "
1,607,KKD,FLAT,NO," 27,31,500.00 "
1,688,HYD,FLAT,NO," 41,28,000.00 "
1,863,GNT,INDP,FULLY," 43,32,260.00 "
1,659,GNT,INDP,PARTIAL," 33,01,590.00 "
1,828,KKD,FLAT,NO," 37,26,000.00 "
1,645,HYD,FLAT,NO," 38,70,000.00 "
1,836,TPT,FLAT,FULLY," 46,98,320.00 "
1,808,GNT,INDP,PARTIAL," 40,48,080.00 "
1,808,TPT,INDP,NO," 45,24,800.00 "
1,649,HYD,FLAT,NO," 38,94,000.00 "
1,660,HYD,FLAT,NO," 39,60,000.00 "
1,844,GNT,INDP,FULLY," 42,36,880.00 "
1,853,GNT,INDP,PARTIAL," 42,73,530.00 "
1,704,VIJ,FLAT,NO," 38,01,600.00 "
1,759,HYD,FLAT,NO," 45,54,000.00 "
1,863,HYD,FLAT,FULLY," 51,95,260.00 "
1,887,GNT,INDP,PARTIAL," 44,43,870.00 "
1,800,GNT,INDP,NO," 40,00,000.00 "
1,845,KKD,FLAT,NO," 38,02,500.00 "
1,705,HYD,FLAT,NO," 42,30,000.00 "
1,666,GNT,INDP,FULLY," 33,43,320.00 "
1,625,GNT,INDP,PARTIAL," 31,31,250.00 "
1,709,KKD,FLAT,NO," 31,90,500.00 "
1,784,HYD,FLAT,NO," 47,04,000.00 "
1,737,TPT,FLAT,FULLY," 41,41,940.00 "
1,676,GNT,INDP,PARTIAL," 33,86,760.00 "
1,746,TPT,INDP,NO," 41,77,600.00 "
1,834,HYD,FLAT,NO," 50,04,000.00 "
1,899,HYD,FLAT,NO," 53,94,000.00 "
1,867,GNT,INDP,FULLY," 43,52,340.00 "
1,634,GNT,INDP,PARTIAL," 31,76,340.00 "
1,893,VIJ,FLAT,NO," 48,22,200.00 "
1,829,HYD,FLAT,NO," 49,74,000.00 "
1,660,HYD,FLAT,FULLY," 39,73,200.00 "
1,712,GNT,INDP,PARTIAL," 35,67,120.00 "
1,711,GNT,INDP,NO," 35,55,000.00 "
1,819,KKD,FLAT,NO," 36,85,500.00 "
1,740,HYD,FLAT,NO," 44,40,000.00 "
1,859,GNT,INDP,FULLY," 43,12,180.00 "
1,705,GNT,INDP,PARTIAL," 35,32,050.00 "
1,610,KKD,FLAT,NO," 27,45,000.00 "
1,718,HYD,FLAT,NO," 43,08,000.00 "
1,681,TPT,FLAT,FULLY," 38,27,220.00 "
1,777,GNT,INDP,PARTIAL," 38,92,770.00 "
1,726,TPT,INDP,NO," 40,65,600.00 "
1,652,HYD,FLAT,NO," 39,12,000.00 "
1,842,HYD,FLAT,NO," 50,52,000.00 "
1,777,GNT,INDP,FULLY," 39,00,540.00 "
1,699,GNT,INDP,PARTIAL," 35,01,990.00 "
1,701,VIJ,FLAT,NO," 37,85,400.00 "
1,738,HYD,FLAT,NO," 44,28,000.00 "
1,766,HYD,FLAT,FULLY," 46,11,320.00 "
1,730,GNT,INDP,PARTIAL," 36,57,300.00 "
1,635,GNT,INDP,NO," 31,75,000.00 "
1,900,KKD,FLAT,NO," 40,50,000.00 "
1,776,HYD,FLAT,NO," 46,56,000.00 "
1,777,GNT,INDP,FULLY," 39,00,540.00 "
1,821,GNT,INDP,PARTIAL," 41,13,210.00 "
1,619,KKD,FLAT,NO," 27,85,500.00 "
1,708,HYD,FLAT,NO," 42,48,000.00 "
1,684,TPT,FLAT,FULLY," 38,44,080.00 "
1,671,GNT,INDP,PARTIAL," 33,61,710.00 "
1,822,TPT,INDP,NO," 46,03,200.00 "
1,696,HYD,FLAT,NO," 41,76,000.00 "
1,717,HYD,FLAT,NO," 43,02,000.00 "
1,700,GNT,INDP,FULLY," 35,14,000.00 "
1,775,GNT,INDP,PARTIAL," 38,82,750.00 "
1,725,VIJ,FLAT,NO," 39,15,000.00 "
1,651,HYD,FLAT,NO," 39,06,000.00 "
1,714,HYD,FLAT,FULLY," 42,98,280.00 "
1,706,GNT,INDP,PARTIAL," 35,37,060.00 "
1,634,GNT,INDP,NO," 31,70,000.00 "
1,810,KKD,FLAT,NO," 36,45,000.00 "
1,738,HYD,FLAT,NO," 44,28,000.00 "
1,866,GNT,INDP,FULLY," 43,47,320.00 "
1,811,GNT,INDP,PARTIAL," 40,63,110.00 "
1,786,KKD,FLAT,NO," 35,37,000.00 "
1,688,HYD,FLAT,NO," 41,28,000.00 "
1,854,TPT,FLAT,FULLY," 47,99,480.00 "
1,729,GNT,INDP,PARTIAL," 36,52,290.00 "
1,640,TPT,INDP,NO," 35,84,000.00 "
1,730,HYD,FLAT,NO," 43,80,000.00 "
1,754,HYD,FLAT,NO," 45,24,000.00 "
1,655,GNT,INDP,FULLY," 32,88,100.00 "
1,830,GNT,INDP,PARTIAL," 41,58,300.00 "
1,732,VIJ,FLAT,NO," 39,52,800.00 "
1,709,HYD,FLAT,NO," 42,54,000.00 "
1,613,HYD,FLAT,FULLY," 36,90,260.00 "
1,872,GNT,INDP,PARTIAL," 43,68,720.00 "
1,614,GNT,INDP,NO," 30,70,000.00 "
1,670,KKD,FLAT,NO," 30,15,000.00 "
1,601,HYD,FLAT,NO," 36,06,000.00 "
1,677,GNT,INDP,FULLY," 33,98,540.00 "
1,640,GNT,INDP,PARTIAL," 32,06,400.00 "
1,730,KKD,FLAT,NO," 32,85,000.00 "
1,855,HYD,FLAT,NO," 51,30,000.00 "
1,829,TPT,FLAT,FULLY," 46,58,980.00 "
1,689,GNT,INDP,PARTIAL," 34,51,890.00 "
1,656,TPT,INDP,NO," 36,73,600.00 "
1,744,HYD,FLAT,NO," 44,64,000.00 "
1,628,HYD,FLAT,NO," 37,68,000.00 "
1,854,GNT,INDP,FULLY," 42,87,080.00 "
1,639,GNT,INDP,PARTIAL," 32,01,390.00 "
1,834,VIJ,FLAT,NO," 45,03,600.00 "
1,885,HYD,FLAT,NO," 53,10,000.00 "
1,686,HYD,FLAT,FULLY," 41,29,720.00 "
1,768,GNT,INDP,PARTIAL," 38,47,680.00 "
1,702,GNT,INDP,NO," 35,10,000.00 "
1,675,KKD,FLAT,NO," 30,37,500.00 "
1,728,HYD,FLAT,NO," 43,68,000.00 "
1,615,GNT,INDP,FULLY," 30,87,300.00 "
1,669,GNT,INDP,PARTIAL," 33,51,690.00 "
1,697,KKD,FLAT,NO," 31,36,500.00 "
1,722,HYD,FLAT,NO," 43,32,000.00 "
1,837,TPT,FLAT,FULLY," 47,03,940.00 "
1,781,GNT,INDP,PARTIAL," 39,12,810.00 "
1,708,TPT,INDP,NO," 39,64,800.00 "
1,821,HYD,FLAT,NO," 49,26,000.00 "
1,665,HYD,FLAT,NO," 39,90,000.00 "
1,896,GNT,INDP,FULLY," 44,97,920.00 "
1,754,GNT,INDP,PARTIAL," 37,77,540.00 "
1,842,VIJ,FLAT,NO," 45,46,800.00 "
1,611,HYD,FLAT,NO," 36,66,000.00 "
1,806,HYD,FLAT,FULLY," 48,52,120.00 "
1,660,GNT,INDP,PARTIAL," 33,06,600.00 "
1,693,GNT,INDP,NO," 34,65,000.00 "
1,740,KKD,FLAT,NO," 33,30,000.00 "
1,715,HYD,FLAT,NO," 42,90,000.00 "
1,671,GNT,INDP,FULLY," 33,68,420.00 "
1,626,GNT,INDP,PARTIAL," 31,36,260.00 "
1,653,KKD,FLAT,NO," 29,38,500.00 "
1,666,HYD,FLAT,NO," 39,96,000.00 "
1,703,TPT,FLAT,FULLY," 39,50,860.00 "
1,839,GNT,INDP,PARTIAL," 42,03,390.00 "
1,603,TPT,INDP,NO," 33,76,800.00 "
1,886,HYD,FLAT,NO," 53,16,000.00 "
1,639,HYD,FLAT,NO," 38,34,000.00 "
1,770,GNT,INDP,FULLY," 38,65,400.00 "
1,686,GNT,INDP,PARTIAL," 34,36,860.00 "
1,619,VIJ,FLAT,NO," 33,42,600.00 "
1,671,HYD,FLAT,NO," 40,26,000.00 "
1,899,HYD,FLAT,FULLY," 54,11,980.00 "
1,699,GNT,INDP,PARTIAL," 35,01,990.00 "
1,810,GNT,INDP,NO," 40,50,000.00 "
1,818,KKD,FLAT,NO," 36,81,000.00 "
1,760,HYD,FLAT,NO," 45,60,000.00 "
1,727,GNT,INDP,FULLY," 36,49,540.00 "
1,747,GNT,INDP,PARTIAL," 37,42,470.00 "
1,849,KKD,FLAT,NO," 38,20,500.00 "
1,752,HYD,FLAT,NO," 45,12,000.00 "
1,871,TPT,FLAT,FULLY," 48,95,020.00 "
1,659,GNT,INDP,PARTIAL," 33,01,590.00 "
1,763,TPT,INDP,NO," 42,72,800.00 "
1,822,HYD,FLAT,NO," 49,32,000.00 "
1,769,HYD,FLAT,NO," 46,14,000.00 "
1,700,GNT,INDP,FULLY," 35,14,000.00 "
